2024-05-09 12:08:47,799 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Configure stats pid to 258889
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Loading settings from /home/uceckz0/.config/wandb/settings
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Loading settings from /lustre/home/uceckz0/Project/imae/jobs/wandb/settings
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'program/imae/main.py', 'program_abspath': '/lustre/home/uceckz0/Project/imae/program/imae/main.py', 'program': '/lustre/home/uceckz0/Project/imae/jobs/../program/imae/main.py'}
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_init.py:_log_setup():521] Logging user logs to /lustre/home/uceckz0/Project/imae/jobs/wandb/run-20240509_120847-t4d42vg1/logs/debug.log
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_init.py:_log_setup():522] Logging internal logs to /lustre/home/uceckz0/Project/imae/jobs/wandb/run-20240509_120847-t4d42vg1/logs/debug-internal.log
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_init.py:init():561] calling init triggers
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'database': 'shallow_water', 'batch_size': 50, 'epochs': 600}
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_init.py:init():611] starting backend
2024-05-09 12:08:47,800 INFO    MainThread:258889 [wandb_init.py:init():615] setting up manager
2024-05-09 12:08:47,801 INFO    MainThread:258889 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-09 12:08:47,803 INFO    MainThread:258889 [wandb_init.py:init():623] backend started and connected
2024-05-09 12:08:47,805 INFO    MainThread:258889 [wandb_init.py:init():715] updated telemetry
2024-05-09 12:08:47,867 INFO    MainThread:258889 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-05-09 12:08:48,264 INFO    MainThread:258889 [wandb_run.py:_on_init():2357] communicating current version
2024-05-09 12:08:48,348 INFO    MainThread:258889 [wandb_run.py:_on_init():2366] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-09 12:08:48,348 INFO    MainThread:258889 [wandb_init.py:init():799] starting run threads in backend
