2024-05-19 18:19:56,847 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Configure stats pid to 214179
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Loading settings from /home/uceckz0/.config/wandb/settings
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Loading settings from /lustre/home/uceckz0/Project/imae/jobs/wandb/settings
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'your-project-name', 'entity': 'vickie02736', 'root_dir': '/lustre/home/uceckz0/Project/imae/jobs', 'run_id': 'fasc0kn1', 'sweep_param_path': '/lustre/home/uceckz0/Project/imae/jobs/wandb/sweep-ftdoknyt/config-fasc0kn1.yaml', 'sweep_id': 'ftdoknyt'}
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_init.py:_log_setup():520] Logging user logs to /lustre/home/uceckz0/Project/imae/jobs/wandb/run-20240519_181956-fasc0kn1/logs/debug.log
2024-05-19 18:19:56,848 INFO    Thread-19 :214179 [wandb_init.py:_log_setup():521] Logging internal logs to /lustre/home/uceckz0/Project/imae/jobs/wandb/run-20240519_181956-fasc0kn1/logs/debug-internal.log
2024-05-19 18:19:56,849 INFO    Thread-19 :214179 [wandb_init.py:init():560] calling init triggers
2024-05-19 18:19:56,849 INFO    Thread-19 :214179 [wandb_init.py:init():567] wandb.init called with sweep_config: {'batch_size': 64, 'epochs': 10, 'learning_rate': 0.001}
config: {}
2024-05-19 18:19:56,849 INFO    Thread-19 :214179 [wandb_init.py:init():610] starting backend
2024-05-19 18:19:56,849 INFO    Thread-19 :214179 [wandb_init.py:init():614] setting up manager
2024-05-19 18:19:56,857 INFO    Thread-19 :214179 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-19 18:19:56,857 INFO    Thread-19 :214179 [wandb_init.py:init():622] backend started and connected
2024-05-19 18:19:56,871 INFO    Thread-19 :214179 [wandb_run.py:_config_callback():1376] config_cb None None {'batch_size': 64, 'epochs': 10, 'learning_rate': 0.001}
2024-05-19 18:19:56,873 INFO    Thread-19 :214179 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-05-19 18:19:56,874 INFO    Thread-19 :214179 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-19 18:19:56,874 INFO    Thread-19 :214179 [wandb_init.py:init():711] updated telemetry
2024-05-19 18:19:56,907 INFO    Thread-19 :214179 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-19 18:19:57,248 INFO    Thread-19 :214179 [wandb_run.py:_on_init():2396] communicating current version
2024-05-19 18:19:57,347 INFO    Thread-19 :214179 [wandb_run.py:_on_init():2405] got version response 
2024-05-19 18:19:57,348 INFO    Thread-19 :214179 [wandb_init.py:init():795] starting run threads in backend
2024-05-19 18:20:00,434 INFO    Thread-19 :214179 [wandb_run.py:_console_start():2374] atexit reg
2024-05-19 18:20:00,434 INFO    Thread-19 :214179 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-19 18:20:00,434 INFO    Thread-19 :214179 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-19 18:20:00,434 INFO    Thread-19 :214179 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-19 18:20:00,435 INFO    Thread-19 :214179 [wandb_init.py:init():838] run started, returning control to user process
2024-05-19 18:20:01,937 INFO    Thread-19 :214179 [wandb_run.py:_finish():2103] finishing run vickie02736/your-project-name/fasc0kn1
2024-05-19 18:20:01,938 INFO    Thread-19 :214179 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-19 18:20:01,938 INFO    Thread-19 :214179 [wandb_run.py:_restore():2326] restore
2024-05-19 18:20:01,938 INFO    Thread-19 :214179 [wandb_run.py:_restore():2332] restore done
2024-05-19 18:20:04,851 INFO    Thread-19 :214179 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-19 18:20:04,851 INFO    Thread-19 :214179 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-19 18:20:04,862 INFO    Thread-19 :214179 [wandb_run.py:_footer_sync_info():3953] logging synced files
